公司;年/月;季別;合併(Y/N);月份;幣別;  現金及約當現金;  透過損益按公允價值衡量之金融資產－流動;  透過其他綜合損益按公允價值衡量之金融資產－流動;  按攤銷後成本衡量之金融資產－流動;  避險之金融資產－流動;  合約資產－流動;  應收帳款及票據;  其他應收款;  資金貸予他人－流動;  存貨;  待出售非流動資產;  當期所得稅資產－流動;流動資產;  透過損益按公允價值衡量之金融資產－非流動;  透過其他綜合損益按公允價值衡量之金融資產－非流動;  按攤銷後成本衡量之金融資產－非流動;  避險之金融資產－非流動;  合約資產－非流動;  採權益法之長期股權投資;  預付投資款;  不動產廠房及設備;  商譽及無形資產合計;    遞延所得稅資產;  遞延資產合計;    使用權資產;    投資性不動產淨額;  其他非流動資產;非流動資產;資產總額;  短期借款;  應付商業本票∕承兌匯票;  透過損益按公允價值衡量之金融負債－流動;  避險之金融負債－流動;  按攤銷後成本衡量之金融負債－流動;  合約負債－流動;  應付帳款及票據;  其他應付款;  當期所得稅負債;  負債準備－流動;  與待出售非流動資產直接相關之負債;  租賃負債─流動;  一年內到期長期負債;  特別股負債－流動;流動負債;  透過損益按公允價值衡量之金融負債－非流動;  避險之金融負債－非流動;  按攤銷後成本衡量之金融負債－非流動;  合約負債－非流動;  特別股負債－非流動;  應付公司債－非流動;  銀行借款－非流動;  其他長期借款－非流動;  租賃負債－非流動;  負債準備－非流動;  遞延貸項;  應計退休金負債;  遞延所得稅;非流動負債;負債總額;    普通股股本;    特別股股本;    預收股款;    待分配股票股利;    換股權利證書;  股本;  資本公積合計;    法定盈餘公積;    特別盈餘公積;    未分配盈餘;  保留盈餘;  其他權益;  庫藏股票帳面值;母公司股東權益合計;共同控制下前手權益;合併前非屬共同控制股權;非控制權益;股東權益總額;負債及股東權益總額
2603 長榮;2022/06;2;Y;06;NTD;334.582.500;5.977;0;77.280.200;9.531.583;4.399.504;51.042.364;1.360.559;2.186.365;646.929;0;382.520;493.827.937;0;2.048.121;523.204;4.645.825;0;40.894.451;0;191.551.169;1.426.629;901.219;901.219;105.449.083;6.381.637;138.707.796;380.698.414;874.526.351;9.574;0;0;1.842.259;0;19.110.664;37.722.999;109.914.099;38.651.277;0;0;10.879.485;9.715.215;0;239.325.541;0;15.504.199;0;0;0;4.780.462;38.252.264;0;77.932.693;0;0;4.589.001;7.231.842;149.038.713;388.364.254;52.910.491;0;0;0;11;52.910.502;15.939.570;32.019.129;1.145.770;334.507.742;367.672.641;14.792.326;0;451.315.039;0;0;34.847.058;486.162.097;874.526.351
2609 陽明;2022/06;2;Y;06;NTD;170.035.892;74.280;0;112.070.439;29.720.000;7.285.792;25.656.943;308.871;0;0;0;0;353.196.985;14.686;515.098;38.434;0;0;11.106.361;0;73.733.077;125.766;686.763;686.763;65.183.879;7.039.177;73.047.486;159.267.671;512.464.656;1.540.000;899.404;0;8.311.747;0;1.015.671;23.352.306;78.739.454;29.332.674;56.307;0;4.314.822;204.470;0;149.471.664;0;32.149.212;0;0;0;10.825.226;2.235.302;0;24.049.069;1.406;0;2.352.779;10.559.915;83.111.008;232.582.672;34.921.043;0;0;0;0;34.921.043;27.975.030;16.907.064;3.713.230;194.710.643;215.330.937;862.848;0;279.089.858;0;0;792.126;279.881.984;512.464.656
2603 長榮;2022/03;1;Y;03;NTD;214.864.398;46.836;0;102.935.263;15.820.050;3.664.425;50.959.356;975.620;2.028.831;575.055;0;247.845;403.463.194;0;2.264.720;573.053;511.303;0;38.743.870;0;174.740.032;1.272.322;860.610;860.610;102.535.743;7.534.133;135.461.839;354.427.749;757.890.943;9.252;0;0;1.085.135;0;19.042.645;40.409.688;16.213.538;24.484.483;0;0;11.168.565;12.928.060;0;136.603.521;0;10.527.720;0;0;0;6.767.668;41.146.277;0;79.715.424;0;0;4.539.057;10.500.979;153.855.936;290.459.457;52.910.491;0;0;0;11;52.910.502;15.899.336;8.122.482;581.406;351.915.245;360.619.133;7.296.570;0;436.725.541;0;0;30.705.945;467.431.486;757.890.943
2609 陽明;2022/03;1;Y;03;NTD;75.045.365;75.895;0;193.820.667;0;5.608.866;23.850.542;122.016;0;0;0;0;304.848.966;14.727;521.293;28.434;0;0;11.025.215;0;72.935.167;127.100;941.464;941.464;63.537.234;7.083.722;71.199.091;156.792.491;461.641.457;1.730.000;898.429;0;7.914.372;0;1.381.062;22.037.544;7.420.867;42.041.634;56.307;0;3.819.670;274.989;0;88.711.924;0;33.018.219;0;0;0;10.847.680;3.080.829;0;19.784.003;1.393;0;2.367.051;8.120.741;78.261.451;166.973.375;34.921.043;0;0;0;0;34.921.043;27.975.030;166.092;1.494.827;227.988.462;229.649.381;1.391.802;0;293.937.256;0;0;730.826;294.668.082;461.641.457
2603 長榮;2021/12;4;Y;12;NTD;107.792.396;44.999;0;93.229.679;23.026.075;4.525.961;41.537.859;441.964;1.525.391;596.688;0;231.233;283.114.993;0;2.123.381;387.519;1.488.664;0;36.418.613;0;153.902.875;1.271.120;857.248;857.248;101.109.020;5.771.084;131.461.707;327.911.127;611.026.120;9.010;0;0;1.031.678;0;13.534.818;30.375.220;11.586.366;12.362.320;0;0;16.238.751;13.147.275;0;109.092.860;0;10.477.195;0;0;0;6.772.950;39.638.454;0;71.200.494;0;0;4.257.425;11.676.126;144.611.670;253.704.530;52.908.484;0;0;0;0;52.908.484;15.762.185;8.122.482;581.406;250.555.749;259.259.637;-1.145.770;0;326.784.536;0;0;30.537.054;357.321.590;611.026.120
2609 陽明;2021/12;4;Y;12;NTD;57.448.678;76.048;0;136.068.631;0;5.465.334;22.080.312;49.501;0;0;0;81.955;226.556.919;13.871;497.931;33.461;0;0;11.081.905;0;73.895.469;80.847;1.341.237;1.341.237;63.139.955;7.083.726;70.914.244;157.858.965;384.415.884;1.393.760;436.131;0;7.585.691;0;1.122.164;19.517.535;7.846.672;29.497.739;56.307;0;3.306.188;1.400.430;0;73.236.883;0;33.835.186;0;0;0;10.822.014;5.068.879;0;17.236.619;1.348;0;2.828.346;6.143.436;76.856.335;150.093.218;34.921.043;0;0;0;0;34.921.043;27.975.030;166.092;1.494.827;167.409.719;169.070.638;1.724.563;0;233.691.274;0;0;631.392;234.322.666;384.415.884
2603 長榮;2021/09;3;Y;09;NTD;98.043.087;60.999;0;28.349.180;26.432.707;6.500.080;48.148.879;442.402;1.544.676;703.629;3.962;329.080;220.689.643;0;1.987.496;391.682;1.908.225;0;33.138.845;0;143.572.939;1.341.601;655.592;655.592;94.193.083;4.867.122;120.289.736;303.286.116;523.975.759;9.109;0;0;1.067.237;0;10.557.372;25.690.652;10.980.922;9.494.189;0;0;15.665.169;19.826.409;0;113.149.714;0;10.805.745;0;0;0;6.760.175;46.388.991;0;64.500.630;0;0;3.340.600;6.132.354;138.503.699;251.653.413;52.908.474;0;0;0;10;52.908.484;15.489.492;8.122.482;581.406;169.885.902;178.589.790;7.653;0;246.995.419;0;0;25.326.927;272.322.346;523.975.759
2609 陽明;2021/09;3;Y;09;NTD;90.124.977;86.095;0;52.342.328;0;7.225.703;21.321.190;46.834;0;0;0;0;176.096.703;15.097;506.801;53.605;0;0;11.843.834;0;72.639.032;88.903;1.047.686;1.047.686;58.002.009;6.317.106;65.287.595;151.482.553;327.579.256;1.560.000;536.744;0;7.598.370;0;1.207.211;21.739.549;6.580.833;15.696.003;0;0;2.285.693;5.537.925;0;63.846.200;0;35.997.539;0;0;0;10.846.718;15.668.119;0;11.094.378;1.326;0;2.786.008;7.517.809;84.649.355;148.495.555;34.921.043;0;0;0;0;34.921.043;27.975.030;166.092;1.494.827;112.065.601;113.726.520;1.884.272;0;178.506.865;0;0;576.836;179.083.701;327.579.256
2603 長榮;2021/06;2;Y;06;NTD;73.681.824;61.000;0;31.604.959;0;4.540.907;38.097.057;422.013;1.453.034;561.368;0;291.236;160.108.756;0;2.058.500;384.095;0;0;33.748.686;0;127.780.427;1.412.676;664.095;664.095;85.911.656;5.119.419;110.936.681;276.985.160;437.093.916;9.127;0;0;905.516;0;8.820.707;26.849.968;8.623.573;8.697.162;0;0;10.691.045;16.747.896;0;95.278.363;0;9.459.876;0;0;0;6.747.612;57.040.620;0;63.078.806;0;0;3.357.634;1.864.894;142.060.289;237.338.652;52.908.474;0;0;0;0;52.908.474;15.505.188;5.714.940;0;105.861.164;111.576.104;1.378.641;0;181.368.407;0;0;18.386.857;199.755.264;437.093.916
2609 陽明;2021/06;2;Y;06;NTD;60.320.499;209.662;0;1.073.547;0;4.353.345;19.337.840;122.854;0;0;0;0;90.000.802;25.000;5.110.720;53.533;0;0;7.533.816;0;73.094.413;82.410;1.043.136;1.043.136;56.220.254;6.317.143;63.173.846;150.116.874;240.117.676;1.619.222;487.121;0;7.552.724;0;626.402;19.548.879;4.986.928;5.678.555;0;0;2.013.859;8.820.901;0;52.101.045;0;37.928.745;0;0;0;10.820.988;21.333.085;0;7.465.598;1.343;0;2.874.068;6.766.943;87.960.659;140.061.704;33.321.043;0;0;0;0;33.321.043;424.206;166.092;1.494.827;59.052.055;60.712.974;5.013.852;0;99.472.075;0;0;583.897;100.055.972;240.117.676
