公司;年/月;季別;合併(Y/N);月份;幣別;營業收入淨額;營業成本;營業毛利;聯屬公司已（未）實現銷貨利益;已實現銷貨毛利;營業費用;  研究發展費;  預期信用減損（損失）利益－營業費用;其他收益及費損淨額;營業利益;  利息收入;其他收入;其他利益及損失;財務成本;採權益法之關聯企業及合資損益之份額;預期信用減損（損失）利益;除列按攤銷後成本衡量金融資產淨損益;金融資產重分類淨損益;營業外收入及支出－其他;營業外收入及支出;稅前淨利;所得稅費用;繼續營業單位損益;停業單位損益;合併前非屬共同控制股權損益;其他損益調整項－非常項目及累計影響數;合併總損益;  不重分類至損益之項目－OCI;  後續可能重分類至損益之項目－OCI;  合併前非屬共同控制股權綜合損益淨額－OCI;其他綜合損益－OCI;本期綜合損益總額;歸屬母公司淨利（損）;歸屬非控制權益淨利（損）;歸屬共同控制下前手權益淨利（損）;綜合損益歸屬母公司;綜合損益歸屬非控制權益;綜合損益歸屬共同控制下前手權益;每股盈餘;加權平均股數;發放特別股股息;稀釋稅後淨利;每股盈餘－完全稀釋;加權平均股數－稀釋;稅前息前淨利;稅前息前折舊前淨利;常續性稅後淨利
2603 長榮;2022/06;2;Y;06;NTD;345.823.872;106.031.416;239.792.456;-2.734;239.789.722;7.704.057;0;83;646.984;232.732.649;951.973;1.270.803;3.632.519;1.499.367;6.564.995;0;0;0;0;9.968.950;242.701.599;31.036.937;211.664.662;0;0;0;211.664.662;-674.196;18.779.657;0;18.105.461;229.770.123;203.652.773;8.011.889;0;219.589.984;10.180.139;0;38,49;5.290.976;0;203.678.364;37,96;5.365.455;244.200.966;257.397.086;211.667.276
2609 陽明;2022/06;2;Y;06;NTD;216.151.750;68.363.728;147.788.022;0;147.788.022;5.864.593;0;25.740;1.330.508;143.253.937;718.225;761.680;8.215.757;1.126.139;846.914;0;0;0;0;8.698.212;151.952.149;35.628.197;116.323.952;0;0;0;116.323.952;-266.495;-627.480;0;-893.975;115.429.977;116.110.637;213.315;0;115.240.669;189.308;0;33,25;3.492.104;0;116.110.637;33,02;3.516.892;153.078.288;162.751.115;116.324.909
2603 長榮;2022/03;1;Y;03;NTD;170.824.671;52.797.926;118.026.745;-7.981;118.018.764;3.507.204;0;-1.316;290.879;114.802.439;243.150;369.215;231.026;753.112;2.726.434;0;0;0;0;2.573.563;117.376.002;11.224.725;106.151.277;0;0;0;106.151.277;251.022;9.135.292;0;9.386.314;115.537.591;101.359.559;4.791.718;0;109.801.836;5.735.755;0;19,16;5.290.901;0;101.372.356;18,95;5.348.203;118.129.114;124.488.831;106.149.505
2609 陽明;2022/03;1;Y;03;NTD;106.704.172;31.389.100;75.315.072;0;75.315.072;3.063.622;0;5.352;53.981;72.305.431;219.945;242.791;4.172.305;560.957;370.274;0;0;0;0;4.224.413;76.529.844;15.847.351;60.682.493;0;0;0;60.682.493;59.887;-396.964;0;-337.077;60.345.416;60.577.166;105.327;0;60.245.982;99.434;0;17,35;3.492.104;0;60.577.166;17,25;3.511.126;77.090.801;81.809.907;60.681.794
2603 長榮;2021/12;4;Y;12;NTD;489.406.832;187.412.073;301.994.759;-60.322;301.934.437;17.310.529;0;-2.073;238.289;284.862.197;386.629;878.714;3.619;3.237.000;5.727.046;0;0;0;0;3.372.379;288.234.576;25.124.517;263.110.059;0;0;0;263.110.059;2.042.683;-3.034.034;0;-991.351;262.118.708;239.014.860;24.095.199;0;238.402.107;23.716.601;0;45,57;5.244.562;0;239.055.595;45,22;5.287.051;291.471.576;314.082.740;263.061.791
2609 陽明;2021/12;4;Y;12;NTD;333.687.395;120.556.335;213.131.060;0;213.131.060;9.975.759;0;150.499;229.215;203.384.516;308.249;402.979;-357.118;2.572.605;1.518.973;0;0;0;0;-1.007.771;202.376.745;36.774.864;165.601.881;0;0;0;165.601.881;2.627.400;-842.099;0;1.785.301;167.387.182;165.268.628;333.253;0;167.177.697;209.485;0;48,73;3.391.275;0;165.269.826;48,28;3.423.270;204.949.350;222.459.978;165.880.200
2603 長榮;2021/09;3;Y;09;NTD;333.401.180;132.993.544;200.407.636;-42.225;200.365.411;8.415.648;0;-1.339;155.770;192.105.533;237.835;650.149;84.675;2.466.887;2.796.385;0;0;0;0;1.064.322;193.169.855;16.255.156;176.914.699;0;0;0;176.914.699;1.561.780;-1.126.104;0;435.676;177.350.375;158.279.091;18.635.608;0;158.885.840;18.464.535;0;30,27;5.228.964;0;158.307.052;30,08;5.262.379;195.636.742;212.208.895;176.850.714
2609 陽明;2021/09;3;Y;09;NTD;231.006.145;90.423.374;140.582.771;0;140.582.771;6.748.658;0;92.486;124.639;133.958.752;141.980;215.307;220.974;1.973.423;1.122.228;0;0;0;0;-414.914;133.543.838;23.443.777;110.100.061;0;0;0;110.100.061;2.645.117;-576.647;0;2.068.470;112.168.531;109.877.965;222.096;0;111.993.288;175.243;0;32,73;3.357.296;0;109.879.163;32,42;3.388.904;135.517.261;148.378.543;110.086.488
2603 長榮;2021/06;2;Y;06;NTD;189.919.533;88.519.698;101.399.835;-46.573;101.353.262;5.460.993;0;449;96.492;95.988.761;138.965;367.300;39.006;1.750.129;2.259.039;0;0;0;0;915.216;96.903.977;7.250.941;89.653.036;0;0;0;89.653.036;2.545.250;-688.833;0;1.856.417;91.509.453;78.141.003;11.512.033;0;80.086.876;11.422.577;0;15,03;5.197.509;0;78.156.305;14,99;5.212.617;98.654.106;109.486.448;89.601.622
2609 陽明;2021/06;2;Y;06;NTD;135.553.705;59.736.147;75.817.558;0;75.817.558;4.462.506;0;61.765;81.546;71.436.598;67.917;113.080;29.552;1.341.420;619.393;0;0;0;0;-579.395;70.857.203;11.651.494;59.205.709;0;0;0;59.205.709;3.363.763;-355.456;0;3.008.307;62.214.016;59.052.111;153.598;0;62.109.322;104.694;0;17,88;3.302.034;0;59.053.309;17,7;3.336.766;72.198.623;80.677.814;59.183.856
2603 長榮;2021/03;1;Y;03;NTD;89.953.060;43.313.405;46.639.655;-23.489;46.616.166;2.666.533;0;740;34.964;43.984.597;62.213;180.154;-27.373;883.368;1.059.644;0;0;0;0;329.057;44.313.654;3.447.966;40.865.688;0;0;0;40.865.688;267.901;873.306;0;1.141.207;42.006.895;36.083.120;4.782.568;0;37.078.085;4.928.810;0;7,04;5.123.045;0;36.091.412;7,01;5.147.240;45.197.022;50.448.704;40.891.922
2609 陽明;2021/03;1;Y;03;NTD;62.282.455;30.551.829;31.730.626;0;31.730.626;2.717.622;0;19.085;74.254;29.087.258;24.904;48.127;-6.816;691.979;249.363;0;0;0;0;-401.305;28.685.953;4.099.009;24.586.944;0;0;0;24.586.944;194.771;-219.914;0;-25.143;24.561.801;24.517.051;69.893;0;24.485.693;76.108;0;7,49;3.271.630;0;24.518.249;7,34;3.341.399;29.377.932;33.622.104;24.575.108
2603 長榮;2020/12;4;Y;12;NTD;207.077.912;161.590.726;45.487.186;1.907;45.489.093;10.875.169;0;-5.405;53.940;34.667.864;341.671;906.473;350.685;4.536.522;451.329;0;0;0;0;-2.828.035;31.839.829;3.072.519;28.767.310;0;0;0;28.767.310;167.887;-2.527.693;0;-2.359.806;26.407.504;24.364.926;4.402.384;0;22.359.390;4.048.114;0;5,06;4.813.206;0;24.388.508;4,96;4.917.317;36.376.351;57.441.847;28.733.668
2609 陽明;2020/12;4;Y;12;NTD;151.276.683;125.192.367;26.084.316;0;26.084.316;6.985.679;0;35.547;361.555;19.460.192;133.458;278.347;-400.445;3.560.297;372.246;0;0;0;0;-3.310.149;16.150.043;3.963.255;12.186.788;0;0;0;12.186.788;-229.450;1.677.565;0;1.448.115;13.634.903;11.977.013;209.775;0;13.476.092;158.811;0;4,51;2.656.125;0;12.150.524;3,64;3.334.083;19.710.340;36.912.225;13.145.370
2603 長榮;2020/09;3;Y;09;NTD;142.388.119;118.417.991;23.970.128;6.637;23.976.765;7.231.304;0;-4.569;35.881;16.781.342;283.921;709.300;548.269;3.576.195;-187.888;0;0;0;0;-2.506.514;14.274.828;1.676.719;12.598.109;0;0;0;12.598.109;-97.353;-1.132.709;0;-1.230.062;11.368.047;10.935.991;1.662.118;0;9.858.065;1.509.982;0;2,27;4.812.974;0;10.936.503;2,27;4.820.198;17.851.023;33.729.191;12.591.884
2609 陽明;2020/09;3;Y;09;NTD;105.247.069;95.824.067;9.423.002;0;9.423.002;4.694.866;0;21.840;273.061;5.001.197;108.338;231.875;631.753;2.792.917;95.394;0;0;0;0;-1.833.895;3.167.302;1.126.870;2.040.432;0;0;0;2.040.432;-106.983;915.537;0;808.554;2.848.986;1.850.823;189.609;0;2.732.515;116.471;0;0,71;2.603.145;0;2.010.495;0,6;3.332.105;5.960.219;18.867.507;2.002.500
2603 長榮;2020/06;2;Y;06;NTD;87.346.001;76.837.670;10.508.331;7.787;10.516.118;4.823.586;0;-2.834;-1.932;5.690.600;225.471;495.126;104.889;2.550.839;-69.059;0;0;0;0;-2.019.883;3.670.717;561.034;3.109.683;0;0;0;3.109.683;-319.904;-741.625;0;-1.061.529;2.048.154;2.750.779;358.904;0;1.788.390;259.764;0;0,57;4.812.974;0;2.750.779;0,57;4.814.767;6.221.556;16.872.420;3.109.522
2609 陽明;2020/06;2;Y;06;NTD;66.392.464;62.656.850;3.735.614;0;3.735.614;3.088.359;0;19.166;209.887;857.142;78.958;107.257;529.717;1.899.631;13.798;0;0;0;0;-1.248.859;-391.717;386.408;-778.125;0;0;0;-778.125;-147.529;250.902;0;103.373;-674.752;-885.895;107.770;0;-742.004;67.252;0;-0,34;2.601.336;0;-885.895;-0,34;2.601.336;1.507.914;10.127.989;-799.793
2603 長榮;2020/03;1;Y;03;NTD;43.475.255;40.530.578;2.944.677;5.536;2.950.213;2.447.425;0;-2.776;-6.377;496.411;138.079;263.915;87.099;1.324.561;-140.504;0;0;0;0;-1.114.051;-617.640;115.509;-733.149;0;0;0;-733.149;-493.210;-640.076;0;-1.133.286;-1.866.435;-441.577;-291.572;0;-1.524.494;-341.941;0;-0,09;4.812.974;0;-441.577;-0,09;4.812.974;706.921;6.048.234;-733.310
2609 陽明;2020/03;1;Y;03;NTD;34.642.179;32.997.026;1.645.153;0;1.645.153;1.575.626;0;5.689;164.064;233.591;40.783;62.326;-54.490;917.118;38.309;0;0;0;0;-870.973;-637.382;117.953;-755.335;0;0;0;-755.335;-381.996;-464.546;0;-846.542;-1.601.877;-818.363;63.028;0;-1.631.305;29.428;0;-0,31;2.601.336;0;-818.363;-0,31;2.601.336;279.736;4.607.155;-716.136
