CO_ID;Date;Open;High;Low;Close;Volume_Year;Amount_Year;ROI_Year;Turn Over_Year;Shares;Market Cap.;Last Bid;Last Offer;ROI-Ln_Year;MV%;Amount%;Transaction;P/E-TSE calc.;P/E-TEJ calc.;P/B-TSE calc.;P/B-TEJ calc.
2603 EMC;2023/12;163;179,5;89,5;118,5;5.736;768.466;27,1269;271,0257;2.116.420;250.796;118,5;119;24,001;0,458;1,614;3.154;4,05;4,98;0,55;0,55
2609 YMTC;2023/12;65,9;72,1;41,1;45,15;6.104;346.806;-5,6331;174,8008;3.492.104;157.668;45,1;45,15;-5,7968;0,288;0,876;3.381;7,58;7,02;0,56;0,56
2603 EMC;2022/12;142,5;186;78,5;163;23.169;3.024.139;-40,1094;1.094,73;2.116.420;344.976;162,5;163;-51,2655;0,783;2,767;10.900;0,9;0,9;0,64;0,64
2609 YMTC;2022/12;120;137,5;56,6;65,5;15.112;1.491.219;-33,2936;432,7567;3.492.104;228.733;65,5;65,6;-40,487;0,519;1,651;7.760;1,03;1,03;0,69;0,69
2603 EMC;2021/12;42,35;233;30;142,5;74.167;7.044.969;256,5246;1.401,81;5.290.847;753.946;142;142,5;127,1237;1,35;4,735;27.656;4,39;4,39;3,05;3,05
2609 YMTC;2021/12;30,7;234,5;18,75;121;51.826;5.383.571;313,6772;1.484,08;3.492.104;422.545;120,5;121;141,9907;0,757;3,931;20.394;3,52;3,49;2,37;2,37
2603 EMC;2020/12;12,6;40,7;8,9;40,7;20.840;462.189;228,2247;417,5541;4.990.902;203.130;40,65;40,7;118,8531;0,455;7,164;4.470;18,33;18,71;2,44;2,48
2609 YMTC;2020/12;7,26;29,25;4,72;29,25;6.363;95.580;305,6864;200,8608;3.167.662;92.654;29,25;29,3;140,041;0,208;1,155;1.503;88,64;105,03;3,95;4,41
